response_id,wave,response_date,country,state,dma,city_tier,age_band,gender,household_size,children_present,ethnicity,income_bracket,education_level,marital_status,primary_category,channel_preference,retailer_type,holiday_season_flag,unaided_aw_crunchwell,aided_aw_crunchwell,considers_crunchwell,consideration_set_size,purchase_frequency_qtr,price_sensitivity_1to5,promo_propensity_0to1,usage_primary,taste,quality,health,value,family_friendly,innovation,trust,likelihood_repurchase_1to5,nps_0to10,top_competitor,price_paid_usd,respondent_weight,aided_aw_honeynest,aided_aw_proteinpeak,aided_aw_morningoats,aided_aw_trailgrove,aided_aw_rootday,aided_aw_cheerios,aided_aw_field_honey,aided_aw_frosted_flakes,aided_aw_quaker,aided_aw_great_value_pl
R_00000083,2024Q2,2024-04-11,United States,NY,NYC,Tier 2,55-64,Female,4,0,Non-Hispanic White,50-75K,High School,Divorced,Bar,In-store,Online,0,0,0,0,3,6,2,0.722,Breakfast,4,4,3,5,3,3,4,2,7,Field & Honey,3.76,1.4858,1,1,0,1,1,1,0,1,1,0
R_00000084,2025Q2,2025-06-22,United States,MO,STL,Tier 2,45-54,Male,2,2,Non-Hispanic White,30-50K,Graduate,Married,Snacks,Mixed,Hypermarket,0,0,1,0,5,0,1,0.714,Post-Workout,4,4,3,5,4,2,3,4,7,Quaker,3.8,0.6236,0,0,1,1,0,1,1,1,1,0
R_00000085,2024Q4,2024-12-06,United States,NY,NYC,Tier 3,55-64,Female,2,2,Non-Hispanic Black,<30K,Some College,Single,RTE Cereal,In-store,Club,1,1,1,0,2,1,3,0.589,Breakfast,4,4,2,3,4,3,5,2,7,Magic Spoon,7.37,1.3309,0,0,0,1,0,1,1,1,1,1
R_00000086,2024Q3,2024-09-16,United States,WA,SEA,Tier 1,45-54,Female,2,0,Non-Hispanic White,100-150K,Graduate,Single,Plant-Based Milk,Mixed,Club,0,1,0,0,2,2,4,0.773,Breakfast,4,4,2,5,4,3,3,4,8,Quaker,7.14,0.8297,0,1,1,1,1,1,1,1,0,1
R_00000087,2024Q3,2024-08-13,United States,IL,CHI,Tier 3,35-44,Female,3,0,Non-Hispanic White,75-100K,High School,Married,RTE Cereal,In-store,Club,0,0,1,0,3,5,5,0.908,Post-Workout,2,3,4,4,3,3,4,3,5,Great Value PL,7.43,0.5405,0,1,1,1,0,1,1,1,0,1
R_00000088,2025Q4,2025-11-02,United States,AR,AR-DMA,Tier 1,55-64,Female,3,0,Non-Hispanic White,50-75K,High School,Married,Plant-Based Milk,Mixed,Supermarket,1,0,1,0,4,2,5,0.758,Multi-Use,3,4,2,4,5,2,3,3,4,Kashi,4.6,0.5083,1,1,1,0,0,1,1,1,0,0
R_00000089,2026Q2,2026-04-21,United States,PA,PIT,Tier 3,55-64,Female,2,2,Asian,<30K,Graduate,Married,Hot Cereal,In-store,Supermarket,0,0,1,0,3,2,4,0.908,Breakfast,4,3,2,3,4,4,3,4,5,Quaker,6.98,1.3021,1,1,1,0,0,0,1,1,1,0
R_00000090,2025Q3,2025-08-28,United States,CA,LAX,Tier 3,25-34,Male,4,0,Non-Hispanic White,50-75K,Graduate,Single,Hot Cereal,In-store,Supermarket,0,0,1,1,1,0,2,0.596,Breakfast,4,4,2,2,5,4,4,3,9,Great Value PL,6.42,0.6197,1,0,1,0,0,1,0,1,1,1
R_00000091,2024Q2,2024-04-07,United States,MO,KAN,Tier 2,55-64,Male,3,0,Non-Hispanic White,100-150K,High School,Married,Plant-Based Milk,In-store,Hypermarket,0,0,1,0,0,6,5,0.501,Multi-Use,4,3,4,2,4,3,5,2,8,Magic Spoon,3.95,1.2125,0,0,1,0,1,1,1,1,1,0
R_00000092,2026Q2,2026-05-25,United States,TX,HOU,Tier 3,65+,Female,2,0,Non-Hispanic White,50-75K,Graduate,Divorced,Hot Cereal,In-store,Supermarket,0,0,1,0,1,1,4,0.927,Post-Workout,4,3,3,4,4,3,5,2,8,Quaker,3.05,0.8477,0,1,1,1,0,1,1,1,1,1
R_00000093,2026Q1,2026-01-26,United States,IL,CHI,Tier 1,45-54,Female,3,0,Asian,150K+,Bachelors,Single,Hot Cereal,In-store,Supermarket,0,1,1,0,2,2,3,0.302,Snack,3,4,2,4,3,2,5,4,5,Magic Spoon,7.03,0.4703,1,1,0,1,1,1,1,1,1,1
R_00000094,2024Q4,2024-11-18,United States,IL,CHI,Tier 2,45-54,Male,2,0,Hispanic,<30K,High School,Single,Snacks,In-store,Hypermarket,1,0,1,1,3,3,5,0.554,Breakfast,5,3,4,4,5,3,3,3,6,Frosted Flakes,2.61,1.2053,1,1,1,0,1,1,1,1,1,1
R_00000095,2025Q1,2025-01-16,United States,CA,SFO,Tier 3,35-44,Female,4,0,Hispanic,150K+,Some College,Widowed,Granola,In-store,Supermarket,0,0,1,1,1,4,2,0.663,Breakfast,3,3,3,4,5,3,3,3,5,Magic Spoon,7.18,0.9272,0,1,1,0,1,0,1,1,1,0
R_00000096,2026Q2,2026-04-02,United States,FL,MIA,Tier 2,25-34,Male,1,2,Non-Hispanic Black,<30K,High School,Divorced,RTE Cereal,In-store,Supermarket,0,1,1,1,3,5,2,0.706,Breakfast,3,5,4,4,3,4,3,5,7,Field & Honey,7.13,0.7653,0,1,0,0,1,1,1,1,1,1
R_00000097,2024Q1,2024-02-27,United States,IL,CHI,Tier 1,65+,Male,3,2,Non-Hispanic White,30-50K,High School,Married,Plant-Based Milk,In-store,Drug,0,0,1,0,1,0,4,0.757,Breakfast,4,2,4,4,5,2,3,5,6,Quaker,6.84,0.9832,0,1,1,0,1,1,1,1,1,0
R_00000098,2025Q4,2025-12-02,United States,FL,ORL,Tier 2,65+,Male,3,0,Non-Hispanic White,150K+,Some College,Divorced,Plant-Based Milk,In-store,Supermarket,1,0,1,0,4,1,4,0.481,Late Night,2,3,4,4,3,3,4,2,10,Great Value PL,5.56,1.5028,0,0,1,1,1,1,1,1,1,0
R_00000099,2024Q4,2024-10-14,United States,IL,CHI,Tier 1,25-34,Male,4,0,Non-Hispanic White,50-75K,Graduate,Married,Granola,Online,Supermarket,0,0,1,0,3,5,3,0.234,Breakfast,3,3,3,3,4,2,3,5,4,Quaker,3.22,1.5111,1,0,1,0,0,1,1,1,1,0
R_00000100,2024Q2,2024-04-06,United States,AR,AR-DMA,Tier 1,55-64,Female,4,0,Non-Hispanic White,150K+,Bachelors,Married,Bar,Mixed,Online,0,1,1,0,3,2,4,0.681,Breakfast,5,4,5,3,4,4,4,2,7,Frosted Flakes,7.53,0.6483,0,0,1,1,1,1,1,1,1,1
